Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,New Year's Day,New Year's Day,US,False,True,,Public,
2025-01-20,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,False,True,,Public,
2025-01-20,Inauguration Day,Inauguration Day,US,True,False,,Public,"US-DC,US-LA,US-MD,US-VA"
2025-02-17,Presidents Day,Washington's Birthday,US,False,True,,Public,
2025-04-18,Good Friday,Good Friday,US,False,False,,Public,"US-CT,US-DE,US-HI,US-IN,US-KY,US-LA,US-NC,US-ND,US-NJ,US-TN"
2025-04-18,Good Friday,Good Friday,US,False,False,,Optional,US-TX
2025-05-26,Memorial Day,Memorial Day,US,False,True,,Public,
2025-06-19,Juneteenth,Juneteenth,US,False,True,2021,Public,
2025-07-04,Independence Day,Independence Day,US,False,True,,Public,
2025-09-01,Labor Day,Labour Day,US,False,True,,Public,
2025-10-13,Columbus Day,Columbus Day,US,False,False,,Public,"US-AL,US-AZ,US-CO,US-CT,US-DC,US-GA,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MS,US-MO,US-MT,US-NE,US-NH,US-NJ,US-NM,US-NY,US-NC,US-OH,US-OK,US-PA,US-RI,US-SC,US-TN,US-UT,US-VA,US-WV"
2025-11-11,Veterans Day,Veterans Day,US,False,True,,Public,
2025-11-27,Thanksgiving Day,Thanksgiving Day,US,False,True,1863,Public,
2025-12-25,Christmas Day,Christmas Day,US,False,True,,Public,
